,Time,CO,NO2,NOX,O3,PM10,SOLR,TMP,WDIR,WSPD
341,8/3/07 11:00,0.5,25,48.1,86.1,35.9,408,13,257,2
342,8/3/07 12:00,0.3,19,36,65.1,47.9,485,14,266,1.8
343,8/3/07 13:00,0.3,14,32,53.1,51.9,434,14,242,2.3
344,8/3/07 14:00,0.3,16,34,59.1,51.9,177,15,252,2.5
345,8/3/07 15:00,0.3,60,67.1,159.2,31.9,131,14,249,3.8
346,8/3/07 16:00,0.3,80,86.1,208.3,27.9,61,13,248,5
347,8/3/07 17:00,0.5,85,94.1,223.3,16,7,13,249,4.8
348,8/3/07 18:00,0.6,99.9,109.1,262.29999,16,0,12,231,5
349,8/3/07 19:00,0.6,64,105.1,202.3,18,0,11,223,4.3
350,8/3/07 20:00,0.6,70,113.1,220.3,22,0,10,220,4.8
351,8/3/07 21:00,0.5,75,117.2,231.3,25.9,0,10,233,4.5
352,8/3/07 22:00,0.3,63,78.1,174.2,33.9,0,9,240,5
353,8/3/07 23:00,0.3,1,23,25,57.9,0,8,214,3.5
354,9/3/07 1:00,0.2,1,11,13,67.9,0,8,214,4
355,9/3/07 2:00,0.2,1,10,11,71.8,0,9,216,4.8
356,9/3/07 3:00,0.2,1,11,13,67.9,0,9,223,5
357,9/3/07 4:00,0.3,1,23,25,55.9,0,9,231,4.3
358,9/3/07 5:00,0.3,3,34,38,37.9,0,9,250,3
359,9/3/07 6:00,0.5,30,55.1,101.1,22,4,9,272,3.5
